ACTIVITY_CODE,ACTIVITY_NAME,TREATMENT_TYPE,FUND_CODES,NBR_UNITS_PLANNED,NBR_UNITS_ACCOMPLISHED,UOM,DATE_PLANNED,DATE_ACCOMPLISHED,DATE_COMPLETED,FY_PLANNED,FY_ACCOMPLISHED,FY_COMPLETED,ACTIVITY_UNIT_ORG,REGION_CODE,ADMIN_FOREST_CODE,DISTRICT_CODE,HOME_ORG,ADMIN_FOREST_NAME,ADMIN_DISTRICT_NAME,PROCLAIMED_FOREST_CODE,OWNERSHIP_CODE,OWNERSHIP_DESC,STATE_ABBR,WATERSHED_CODE,SLOPE,ELEVATION,ASPECT,METHOD_CODE,METHOD_DESC,EQUIPMENT_CODE,EQUIPMENT_DESC,COST_PER_UOM,NEPA_PROJECT_ID,NEPA_DOC_NAME,IMPLEMENTATION_PROJECT_NAMES,IMPLEMENTATION_PROJECT_NUMBERS,IMPLEMENTATION_PROJECT_TYPES,WORK_AGENT_CODES,SUBUNIT_SIZE,SUBUNIT_UOM,ACTIVITY_UNIT_CN,SUBUNIT_CN,FACTS_ID,SUID,SUBUNIT,SUBUNIT_NAME,ACTIVITY_CN,NEPA_PROJECT_CN,STAGE,STAGE_DESC,REV_DATE,DATA_SOURCE_CODE,DATA_SOURCE_DESC,CRC_VALUE,ETL_MODIFIED,UK,EDW_INSERT_DATE,GIS_MILES,OBJECTID,ACCURACY,SHAPELEN
6683,Inland Fish habitat non-structural maintenance - Length,N/A,NFWF,0.9,0.9,MILES,2013/04/25 00:00:00+00,2013/04/25 00:00:00+00,2013/04/25 00:00:00+00,2013,2013,2013,081005,08,10,05,081005,Ozark-St. Francis National Forest,Boston Mountain Ranger District,0820,FS,USDA FOREST SERVICE,AR,110100010103,,,,200,Mechanical,111,Chain Saw,965,31331,(PALS)PARSLEY PROJECT,OZARK HIGHLANDS ECOSYSTEM RESTORATION,CFLR022,CFLRP,FA,0.9,MILES,3790424010602,882828010602,MILLHWHITE,081005MILLHWHITE005,005,LWD 11010001000225,3880117010602,32947,3,Accomplished,2013/05/15 21:02:00+00,7,Digitized From Hardcopy PBS/SEQ,0DB7727837056A50,N,0810_3583_ACTL,2017/01/14 12:35:14+00,0.967,170866,,0.0141640636142806
9007,Road Maintenance,Prism,WFSU,13.1,13.1,MILES,2014/07/18 00:00:00+00,2014/08/31 00:00:00+00,2014/08/31 00:00:00+00,2014,2014,2014,030106,03,01,06,030106,Apache-Sitgreaves National Forests,Springerville Ranger District,0301,FS,USDA FOREST SERVICE,AZ,,,,,106,Maintenance,000,NA,7309.72,EMERG RESP,Emergency Response,"4 FOREST RESTORATION INITIATIVE,06 WILDFIRE EMERGENCY RESPONSE","CFLR005, ","CFLRP, ",CT,13.1,MILES,4543851010602,963597010602,SNJUANBAER,030106SNJUANBAER002,002,FY14 POST-SAN JUAN FIRE BAER ROAD MTNC.,4393181010602,1431010602,3,Accomplished,2014/10/27 00:00:00+00,20,Digitized Other,33FD25615926CB47,N,0301_9_ACTL,2017/01/14 13:20:48+00,13.225,170870,,0.205976790353673
6683,Inland Fish habitat non-structural maintenance - Length,N/A,CFLN,0.4,0.4,MILES,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014,2014,2014,081002,08,10,02,081002,Ozark-St. Francis National Forest,Buffalo Ranger District,0820,FS,USDA FOREST SERVICE,AR,110100050307,,,,100,Manual,111,Chain Saw,102,26081,(PALS)BEARCAT HOLLOW PHASE II PROJECT,OZARK HIGHLANDS ECOSYSTEM RESTORATION,CFLR022,CFLRP,FA,0.4,MILES,2746713010602,951568010602,FALLINGWAT,081002FALLINGWAT002,002,LWD 11010005003435,4331496010602,35930,3,Accomplished,2014/09/05 15:15:39+00,7,Digitized From Hardcopy PBS/SEQ,5AF76890CFB09934,N,0810_5830_ACTL,2017/01/14 12:35:14+00,0.367,170879,,0.0067896044070248
6683,Inland Fish habitat non-structural maintenance - Length,N/A,NFWF,0.1,0.1,MILES,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014,2014,2014,081002,08,10,02,081002,Ozark-St. Francis National Forest,Buffalo Ranger District,0820,FS,USDA FOREST SERVICE,AR,110100050308,,,,100,Manual,111,Chain Saw,2828,26081,(PALS)BEARCAT HOLLOW PHASE II PROJECT,OZARK HIGHLANDS ECOSYSTEM RESTORATION,CFLR022,CFLRP,FA,0.1,MILES,2746718010602,951584010602,OUTRICHLND,081002OUTRICHLND041,041,LWD 11010005003411 TRIBUTARY,4331551010602,35930,3,Accomplished,2014/09/05 15:18:29+00,7,Digitized From Hardcopy PBS/SEQ,5ED6E5D5D50C0968,N,0810_5842_ACTL,2017/01/14 12:35:14+00,0.15,170880,,0.0022733460810521
6683,Inland Fish habitat non-structural maintenance - Length,N/A,NFWF,0.7,0.7,MILES,2013/04/25 00:00:00+00,2013/04/25 00:00:00+00,2013/04/25 00:00:00+00,2013,2013,2013,081005,08,10,05,081005,Ozark-St. Francis National Forest,Boston Mountain Ranger District,0820,FS,USDA FOREST SERVICE,AR,110100010103,,,,200,Mechanical,111,Chain Saw,965,31331,(PALS)PARSLEY PROJECT,OZARK HIGHLANDS ECOSYSTEM RESTORATION,CFLR022,CFLRP,FA,0.7,MILES,3790424010602,882825010602,MILLHWHITE,081005MILLHWHITE002,002,LWD 11010001000221,3880102010602,32947,3,Accomplished,2013/05/15 20:59:50+00,7,Digitized From Hardcopy PBS/SEQ,6EE8F51CF7823BAC,N,0810_3580_ACTL,2017/01/14 12:35:14+00,0.726,170885,,0.0113050172506033
3231,Trail Maintenance,N/A,CWKV,1.7,1.7,MILES,2010/10/01 00:00:00+00,2011/08/03 00:00:00+00,2011/08/03 00:00:00+00,2011,2011,2011,031102,03,01,02,030102,Apache-Sitgreaves National Forests,Black Mesa Ranger District,0311,FS,USDA FOREST SERVICE,AZ,,,,,100,Manual,100,Hand Work,1033,CE NO DM,CE without DM,4 FOREST RESTORATION INITIATIVE,CFLR005,CFLRP,FA,1.7,MILES,2759881010602,741841010602,BMTRAILS10,031102BMTRAILS10007,007,BLACK MESA TR 529,3280491010602,1757010602,3,Accomplished,2016/07/27 00:00:00+00,2,GPS – Uncorrected Data,76E126186C6EB539,N,0301_4_ACTL,2017/01/14 13:20:48+00,1.711,170888,,0.0270171477187136
6683,Inland Fish habitat non-structural maintenance - Length,N/A,CFLN,0.6,0.6,MILES,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014,2014,2014,081002,08,10,02,081002,Ozark-St. Francis National Forest,Buffalo Ranger District,0820,FS,USDA FOREST SERVICE,AR,110100050308,,,,100,Manual,111,Chain Saw,102,26081,(PALS)BEARCAT HOLLOW PHASE II PROJECT,OZARK HIGHLANDS ECOSYSTEM RESTORATION,CFLR022,CFLRP,FA,0.6,MILES,2746718010602,951582010602,OUTRICHLND,081002OUTRICHLND039,039,LWD 11010005003396,4331559010602,35930,3,Accomplished,2014/09/05 15:18:29+00,7,Digitized From Hardcopy PBS/SEQ,7D206E43EAB8AFB4,N,0810_5839_ACTL,2017/01/14 12:35:14+00,0.616,170890,,0.00944288520061851
6683,Inland Fish habitat non-structural maintenance - Length,N/A,CFLN,0.3,0.3,MILES,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014,2014,2014,081002,08,10,02,081002,Ozark-St. Francis National Forest,Buffalo Ranger District,0820,FS,USDA FOREST SERVICE,AR,110100050307,,,,100,Manual,111,Chain Saw,102,26081,(PALS)BEARCAT HOLLOW PHASE II PROJECT,OZARK HIGHLANDS ECOSYSTEM RESTORATION,CFLR022,CFLRP,FA,0.3,MILES,2746713010602,951567010602,FALLINGWAT,081002FALLINGWAT001,001,LWD 11010005003419,4331497010602,35930,3,Accomplished,2014/09/05 15:15:39+00,7,Digitized From Hardcopy PBS/SEQ,843DE19363ACFF23,N,0810_5832_ACTL,2017/01/14 12:35:14+00,0.315,170892,,0.0054790670123512
2011,Range Grazing Structural Improvements - Length,N/A,CWKV,0.5,0.5,MILES,2012/10/01 00:00:00+00,2012/10/01 00:00:00+00,2012/10/01 00:00:00+00,2013,2013,2013,031102,03,01,02,030102,Apache-Sitgreaves National Forests,Black Mesa Ranger District,0311,FS,USDA FOREST SERVICE,AZ,,,,,100,Manual,100,Hand Work,2000,NOT REQD,DEFAULT FOR NOT REQUIRED,4 FOREST RESTORATION INITIATIVE,CFLR005,CFLRP,FA,0.5,MILES,AU341528010602,595639010602,FUELWOOD02,031102FUELWOOD02002,002,OKLAHOMA FENCE,AC1994528010602,101043710437,3,Accomplished,2013/12/06 00:00:00+00,2,GPS – Uncorrected Data,8DC8EC9E62AB6CBF,N,0301_8_ACTL,2017/01/14 13:20:48+00,0.182,170894,,0.0028474931962168
6683,Inland Fish habitat non-structural maintenance - Length,N/A,NFWF,0.7,0.7,MILES,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014/08/01 00:00:00+00,2014,2014,2014,081002,08,10,02,081002,Ozark-St. Francis National Forest,Buffalo Ranger District,0820,FS,USDA FOREST SERVICE,AR,110100050308,,,,100,Manual,111,Chain Saw,2828,26081,(PALS)BEARCAT HOLLOW PHASE II PROJECT,OZARK HIGHLANDS ECOSYSTEM RESTORATION,CFLR022,CFLRP,FA,0.7,MILES,2746718010602,951585010602,OUTRICHLND,081002OUTRICHLND042,042,LWD 11010005000951,4331550010602,35930,3,Accomplished,2014/09/05 15:18:29+00,7,Digitized From Hardcopy PBS/SEQ,A03407590B35F6B7,N,0810_5840_ACTL,2017/01/14 12:35:15+00,0.706,170899,,0.0119250355153305
